DEBUG (7):  TTL no 2, src no 1, seq no 0, dest no 65535 time no 92648
DEBUG (6):  TTL no 2, src no 1, seq no 0, dest no 65535 time no 92648
DEBUG (1):  TTL no 2, src no 2, seq no 0, dest no 65535 time no 92870
DEBUG (1):  TTL no 1, src no 6, seq no 0, dest no 65535 time no 92952
DEBUG (2):  TTL no 2, src no 1, seq no 0, dest no 65535 time no 93165
DEBUG (1):  TTL no 1, src no 3, seq no 0, dest no 65535 time no 93170
DEBUG (1):  TTL no 1, src no 11, seq no 0, dest no 65535 time no 93175
DEBUG (1):  TTL no 1, src no 5, seq no 0, dest no 65535 time no 93188
DEBUG (1):  TTL no 1, src no 9, seq no 0, dest no 65535 time no 93248
DEBUG (1):  TTL no 1, src no 7, seq no 0, dest no 65535 time no 93271
DEBUG (1):  TTL no 1, src no 10, seq no 0, dest no 65535 time no 93326
DEBUG (7):  TTL no 2, src no 1, seq no 0, dest no 65535 time no 93724
DEBUG (1):  TTL no 2, src no 11, seq no 0, dest no 65535 time no 93873
